                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69064,                0.35061,                0.81498,                0.77601,                 0.7593,                0.76127,                0.56115,                 0.8263,                0.42612,                0.84643,              0.0005903,              0.0005903,              0.0005903
                     37,                0.66923,                0.34554,                0.81416,                0.73955,                0.76787,                0.76795,                0.57642,                0.82078,                0.41706,                0.84665,             0.00058677,             0.00058677,             0.00058677
                     38,                0.64721,                 0.3383,                0.80506,                0.85372,                0.78887,                0.78642,                0.58773,                0.82837,                0.42873,                0.84754,             0.00058323,             0.00058323,             0.00058323
                     39,                0.67255,                0.34351,                0.81801,                0.88304,                0.80543,                 0.8129,                0.57643,                0.88303,                 0.4333,                0.85316,              0.0005797,              0.0005797,              0.0005797
                     40,                0.68018,                0.34459,                0.81027,                0.76525,                0.80333,                0.80698,                0.60267,                0.80181,                0.42563,                0.83947,             0.00057616,             0.00057616,             0.00057616
                     41,                0.64509,                0.33781,                0.81126,                 0.7763,                0.79578,                0.81035,                0.59111,                0.79252,                0.41082,                0.83607,             0.00057263,             0.00057263,             0.00057263
                     42,                0.62502,                0.32572,                0.80463,                0.77836,                0.81114,                0.80872,                0.59657,                0.81519,                0.41664,                0.84525,             0.00056909,             0.00056909,             0.00056909
                     43,                0.65248,                0.33244,                0.80986,                0.86121,                0.79594,                0.81058,                 0.5949,                0.82514,                0.41548,                0.84244,             0.00056556,             0.00056556,             0.00056556
                     44,                0.62722,                 0.3308,                0.81533,                0.86628,                0.78475,                0.81343,                0.59567,                0.80818,                0.40661,                0.84091,             0.00056203,             0.00056203,             0.00056203
                     45,                0.63951,                 0.3305,                 0.8047,                0.85162,                0.75602,                0.77214,                0.57759,                0.81437,                0.41425,                0.84363,             0.00055849,             0.00055849,             0.00055849
                     46,                0.64455,                0.32756,                 0.8077,                0.74756,                0.75274,                0.76669,                 0.5677,                0.80607,                0.41788,                0.84084,             0.00055496,             0.00055496,             0.00055496
                     47,                0.64109,                0.32768,                0.80418,                0.83845,                0.73973,                 0.7788,                0.58759,                0.80785,                0.40827,                0.84023,             0.00055142,             0.00055142,             0.00055142
                     48,                0.63568,                 0.3257,                0.80692,                0.95009,                0.73527,                0.79817,                0.58421,                0.85164,                0.41819,                0.84675,             0.00054789,             0.00054789,             0.00054789
                     49,                0.62887,                0.32327,                 0.8166,                0.84498,                0.80952,                0.82454,                0.60086,                0.83576,                0.41252,                 0.8445,             0.00054435,             0.00054435,             0.00054435
                     50,                0.63418,                0.32286,                0.81483,                0.85827,                0.80336,                0.82028,                0.60617,                0.79559,                0.40501,                0.83795,             0.00054082,             0.00054082,             0.00054082
                     51,                0.59246,                0.31251,                 0.8111,                0.82193,                0.81296,                0.81827,                0.60577,                0.81013,                 0.4071,                0.84196,             0.00053728,             0.00053728,             0.00053728
                     52,                0.62696,                0.32758,                0.80392,                0.86749,                0.78904,                0.78899,                0.57616,                0.84224,                0.41321,                0.84526,             0.00053375,             0.00053375,             0.00053375
                     53,                0.61554,                0.31854,                0.80426,                0.83081,                0.80081,                 0.7892,                0.58895,                0.81775,                0.42082,                0.84201,             0.00053022,             0.00053022,             0.00053022
                     54,                0.60609,                0.31841,                0.80109,                 0.8476,                0.80761,                0.79208,                0.59371,                0.81832,                0.40996,                0.84104,             0.00052668,             0.00052668,             0.00052668
                     55,                0.61186,                0.32947,                0.80475,                0.90361,                 0.7788,                0.80831,                0.59332,                0.82601,                0.42009,                0.84318,             0.00052315,             0.00052315,             0.00052315
                     56,                0.59845,                0.31637,                0.80271,                0.83742,                0.79971,                0.77959,                0.57113,                0.81744,                0.41341,                0.84464,             0.00051961,             0.00051961,             0.00051961
                     57,                0.62041,                0.31961,                0.80514,                0.78726,                0.80613,                0.77976,                0.57793,                0.81317,                 0.4065,                0.84072,             0.00051608,             0.00051608,             0.00051608
                     58,                0.63611,                0.32845,                0.80672,                0.83392,                0.79067,                0.76983,                0.57746,                0.80181,                0.41275,                0.84028,             0.00051254,             0.00051254,             0.00051254
                     59,                0.61016,                0.31476,                0.80753,                0.76031,                0.77751,                0.76332,                0.57707,                0.80476,                 0.4109,                0.84009,             0.00050901,             0.00050901,             0.00050901
                     60,                0.62018,                 0.3171,                0.81118,                0.83079,                0.77932,                0.76722,                0.57734,                0.81781,                0.41146,                0.84299,             0.00050548,             0.00050548,             0.00050548
                     61,                0.59178,                0.31433,                0.80223,                0.82159,                0.72184,                 0.7626,                0.57811,                 0.8128,                0.40924,                0.84345,             0.00050194,             0.00050194,             0.00050194
                     62,                0.60789,                0.31371,                0.80233,                 0.8342,                0.72239,                0.76338,                0.57839,                0.80225,                0.41318,                0.83865,             0.00049841,             0.00049841,             0.00049841
                     63,                0.59133,                0.30826,                 0.8013,                0.85113,                0.73454,                0.76846,                0.58545,                0.81566,                0.40496,                0.84205,             0.00049487,             0.00049487,             0.00049487
                     64,                 0.6071,                0.30589,                0.80592,                0.81756,                 0.7451,                0.77019,                0.57642,                 0.8023,                0.39763,                0.83895,             0.00049134,             0.00049134,             0.00049134
                     65,                0.60811,                0.31201,                0.80459,                0.80675,                0.74684,                0.76907,                0.58453,                0.79118,                0.40627,                 0.8377,              0.0004878,              0.0004878,              0.0004878
                     66,                 0.6029,                0.30883,                 0.8071,                0.71248,                0.79677,                0.76803,                  0.573,                0.80163,                0.41197,                0.83747,             0.00048427,             0.00048427,             0.00048427
                     67,                0.58832,                0.30077,                0.80224,                0.79595,                0.76159,                0.76634,                0.57768,                0.81546,                0.40545,                0.84086,             0.00048074,             0.00048074,             0.00048074
                     68,                0.58215,                0.29958,                0.80321,                0.75386,                0.80075,                0.77325,                0.59701,                0.78961,                0.40601,                 0.8374,              0.0004772,              0.0004772,              0.0004772
                     69,                 0.5811,                0.30071,                0.80048,                0.87389,                0.75869,                0.77576,                0.58072,                0.81208,                0.40514,                0.84083,             0.00047367,             0.00047367,             0.00047367
                     70,                0.59219,                0.30473,                  0.802,                0.96251,                 0.7084,                0.77646,                 0.5869,                0.80702,                 0.4131,                0.83842,             0.00047013,             0.00047013,             0.00047013
                     71,                0.59455,                0.30143,                0.80537,                0.85053,                 0.8004,                0.79435,                0.60185,                0.79108,                0.40096,                0.83929,              0.0004666,              0.0004666,              0.0004666
                     72,                0.58112,                0.30309,                0.79956,                0.84965,                0.80145,                0.79149,                0.60438,                0.79065,                0.40344,                0.83673,             0.00046306,             0.00046306,             0.00046306
                     73,                0.59947,                0.30884,                 0.8055,                0.82644,                0.78724,                0.79343,                 0.5979,                0.78386,                0.39905,                0.83388,             0.00045953,             0.00045953,             0.00045953
                     74,                0.58575,                0.30383,                0.80544,                0.81967,                0.79169,                0.78772,                0.59665,                0.79657,                0.40495,                0.83755,               0.000456,               0.000456,               0.000456
                     75,                0.58666,                0.30187,                0.79998,                 0.8626,                0.74016,                0.77222,                0.58665,                0.80378,                0.41118,                0.83728,             0.00045246,             0.00045246,             0.00045246
                     76,                0.57493,                0.30045,                0.80364,                0.93993,                0.71476,                0.78086,                0.59432,                0.78155,                0.39792,                0.83519,             0.00044893,             0.00044893,             0.00044893
                     77,                0.58099,                0.30376,                0.79639,                0.94339,                0.71187,                0.77731,                0.59028,                0.78687,                0.41126,                0.83513,             0.00044539,             0.00044539,             0.00044539
                     78,                0.57096,                 0.2967,                 0.8009,                0.85849,                0.80265,                0.79633,                0.59804,                0.79243,                0.40011,                0.83861,             0.00044186,             0.00044186,             0.00044186
                     79,                0.57524,                0.30515,                0.80011,                0.92422,                0.77019,                0.82336,                0.59752,                0.79629,                0.40365,                0.83976,             0.00043832,             0.00043832,             0.00043832
                     80,                0.59687,                0.30488,                0.80165,                0.87256,                0.79724,                0.78805,                0.60333,                0.78937,                  0.401,                0.83744,             0.00043479,             0.00043479,             0.00043479
                     81,                0.58014,                0.29902,                 0.7992,                  0.851,                0.80599,                0.79073,                0.60651,                0.79185,                 0.4023,                0.83844,             0.00043126,             0.00043126,             0.00043126
                     82,                0.57156,                0.30613,                0.79553,                 0.8509,                0.79487,                0.78766,                0.59797,                0.80617,                0.39799,                0.83976,             0.00042772,             0.00042772,             0.00042772
