                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6229,                 2.8165,                 1.0359,                0.62849,                 0.3221,                0.39842,                0.23053,                 1.5979,                 1.9695,                 1.0268,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 1.3897,                 1.5974,                0.97942,                0.61015,                0.52816,                0.54603,                0.34192,                 1.2881,                0.97763,                0.94349,             0.00012078,             0.00012078,             0.00012078
                      3,                 1.1707,                0.82825,                0.91628,                 0.6128,                0.62254,                0.64042,                0.44015,                 1.1126,                0.67978,                0.90693,              0.0001838,              0.0001838,              0.0001838
                      4,                 1.0007,                0.61538,                  0.875,                0.87726,                 0.5416,                0.63869,                0.44017,                 1.0653,                0.61218,                0.89778,             0.00024619,             0.00024619,             0.00024619
                      5,                0.96586,                 0.5503,                0.87143,                0.87931,                0.57607,                0.65262,                0.46203,                0.99879,                0.54255,                0.88585,             0.00030794,             0.00030794,             0.00030794
                      6,                 0.9051,                0.50464,                0.86236,                0.75581,                0.67067,                 0.6771,                0.48575,                 1.0003,                0.54504,                0.88244,             0.00036905,             0.00036905,             0.00036905
                      7,                0.88814,                0.50542,                0.85393,                0.87676,                0.65272,                0.69252,                 0.5133,                0.91486,                 0.4999,                0.86556,             0.00042953,             0.00042953,             0.00042953
                      8,                0.83683,                0.45264,                0.84937,                 0.8096,                0.67405,                0.70317,                0.51999,                0.90393,                0.49013,                0.86413,             0.00048937,             0.00048937,             0.00048937
                      9,                0.82526,                 0.4474,                0.84722,                0.89743,                0.62217,                0.71042,                0.52128,                0.91799,                0.49824,                0.86563,             0.00054858,             0.00054858,             0.00054858
                     10,                0.81051,                0.42983,                0.84073,                0.78426,                0.72876,                0.71169,                0.51144,                0.96448,                0.49435,                0.87365,             0.00060715,             0.00060715,             0.00060715
                     11,                0.80113,                0.42952,                0.84037,                0.81982,                0.71671,                0.71185,                0.51737,                0.91289,                0.48179,                0.86219,             0.00066508,             0.00066508,             0.00066508
                     12,                0.79678,                0.41685,                0.82999,                0.81605,                 0.6698,                0.70794,                0.51883,                0.93193,                0.48795,                0.86577,             0.00067512,             0.00067512,             0.00067512
                     13,                0.79061,                0.41616,                0.82947,                0.80416,                0.66212,                0.69702,                0.50972,                0.92961,                0.48193,                0.86413,             0.00067159,             0.00067159,             0.00067159
                     14,                0.76704,                0.40523,                0.83196,                0.73092,                0.66829,                0.71083,                0.51496,                0.91174,                0.47928,                0.86282,             0.00066805,             0.00066805,             0.00066805
                     15,                0.77341,                 0.4033,                0.82115,                0.80484,                0.72608,                0.75132,                0.53086,                0.93618,                0.47284,                 0.8619,             0.00066452,             0.00066452,             0.00066452
                     16,                0.75217,                0.40747,                0.83664,                0.93241,                0.68862,                0.75731,                0.53988,                0.88522,                0.45577,                0.85264,             0.00066099,             0.00066099,             0.00066099
                     17,                0.75928,                 0.4001,                0.82541,                0.89966,                0.72403,                0.75126,                0.54942,                0.88946,                 0.4631,                0.85104,             0.00065745,             0.00065745,             0.00065745
                     18,                0.74603,                0.39332,                0.82093,                0.85433,                0.73566,                0.78007,                0.56253,                 0.8826,                0.46044,                0.85046,             0.00065392,             0.00065392,             0.00065392
                     19,                0.76104,                0.39001,                0.82318,                0.82739,                 0.6696,                0.75334,                 0.5491,                0.86841,                0.45981,                0.84953,             0.00065038,             0.00065038,             0.00065038
                     20,                0.76241,                0.39307,                0.82332,                0.93993,                0.66228,                0.75367,                0.55645,                 0.8678,                0.45778,                 0.8481,             0.00064685,             0.00064685,             0.00064685
                     21,                0.73063,                0.37629,                0.82244,                0.92263,                0.66935,                0.76386,                0.57225,                0.87159,                0.46298,                0.85227,             0.00064331,             0.00064331,             0.00064331
                     22,                0.74312,                0.37531,                0.81719,                0.83652,                0.74274,                0.77644,                 0.5551,                0.89066,                0.45284,                0.84934,             0.00063978,             0.00063978,             0.00063978
                     23,                0.71184,                0.37067,                0.82168,                0.83137,                0.70558,                0.74147,                0.56651,                0.83934,                0.44085,                0.84038,             0.00063625,             0.00063625,             0.00063625
                     24,                0.71219,                0.36755,                0.82099,                 0.8318,                 0.7391,                0.74577,                0.55639,                0.85284,                0.43695,                0.84289,             0.00063271,             0.00063271,             0.00063271
                     25,                 0.7014,                0.36628,                0.81721,                0.86674,                0.71864,                 0.7849,                0.58544,                0.84319,                0.44429,                0.84403,             0.00062918,             0.00062918,             0.00062918
                     26,                0.70289,                0.35924,                0.82266,                0.92848,                0.72784,                0.81098,                0.59448,                0.87281,                0.45826,                0.84954,             0.00062564,             0.00062564,             0.00062564
                     27,                0.69262,                0.36475,                0.82389,                0.86305,                0.73116,                0.80506,                0.58039,                0.86701,                0.45306,                0.84835,             0.00062211,             0.00062211,             0.00062211
                     28,                0.70079,                0.36669,                 0.8121,                0.93794,                0.72799,                0.81396,                  0.581,                0.86025,                0.45966,                0.84698,             0.00061857,             0.00061857,             0.00061857
                     29,                0.69257,                0.36081,                 0.8165,                0.80712,                0.80786,                0.78735,                0.57491,                0.85138,                0.44766,                0.84624,             0.00061504,             0.00061504,             0.00061504
                     30,                0.69223,                0.35824,                0.81993,                 0.9084,                0.71331,                0.78364,                0.58229,                0.82901,                 0.4367,                0.84164,             0.00061151,             0.00061151,             0.00061151
                     31,                0.68945,                0.35355,                 0.8164,                0.84784,                0.73502,                0.78008,                0.56061,                0.84597,                0.42933,                0.84946,             0.00060797,             0.00060797,             0.00060797
                     32,                0.67998,                0.35528,                0.81683,                0.85903,                0.73849,                 0.7786,                0.57663,                0.84694,                0.43472,                0.85073,             0.00060444,             0.00060444,             0.00060444
                     33,                0.67146,                0.34654,                0.81653,                0.93357,                0.68987,                0.79306,                 0.5747,                0.83412,                0.42877,                  0.849,              0.0006009,              0.0006009,              0.0006009
                     34,                0.65742,                0.34096,                0.81112,                0.78232,                0.80207,                0.81088,                0.57343,                0.86881,                0.43935,                0.85294,             0.00059737,             0.00059737,             0.00059737
                     35,                0.67553,                0.35159,                0.81013,                0.86881,                0.74696,                0.80901,                0.57113,                0.82895,                0.42677,                0.84751,             0.00059383,             0.00059383,             0.00059383
                     36,                0.69403,                0.34904,                0.81559,                0.91054,                0.73065,                0.81101,                0.57259,                0.82461,                0.43168,                0.84424,              0.0005903,              0.0005903,              0.0005903
                     37,                0.66265,                0.34381,                0.81389,                0.92281,                 0.7343,                0.81098,                0.57638,                0.83974,                0.43196,                0.84497,             0.00058677,             0.00058677,             0.00058677
                     38,                0.64298,                0.33595,                0.80614,                0.83922,                0.79784,                0.79202,                0.56742,                0.84011,                0.42887,                 0.8437,             0.00058323,             0.00058323,             0.00058323
                     39,                0.65761,                0.33987,                0.81685,                0.79438,                0.82247,                0.78506,                 0.5585,                0.85384,                0.42782,                0.84531,              0.0005797,              0.0005797,              0.0005797
                     40,                0.67339,                 0.3397,                 0.8103,                0.83778,                0.81678,                0.82059,                 0.5798,                0.82037,                0.42075,                0.84103,             0.00057616,             0.00057616,             0.00057616
                     41,                0.64794,                0.33647,                0.81181,                 0.8516,                0.80613,                0.77906,                0.57683,                0.82182,                0.42549,                0.84096,             0.00057263,             0.00057263,             0.00057263
                     42,                0.63247,                0.32538,                0.81033,                 0.8443,                0.79753,                 0.7793,                0.57168,                0.81713,                0.42648,                0.84319,             0.00056909,             0.00056909,             0.00056909
                     43,                0.64417,                 0.3296,                0.80997,                0.86017,                0.79813,                 0.7719,                 0.5672,                0.82975,                 0.4289,                0.84309,             0.00056556,             0.00056556,             0.00056556
                     44,                 0.6291,                0.33325,                0.81422,                0.80955,                0.81468,                0.77151,                0.57362,                 0.8109,                0.42473,                0.84072,             0.00056203,             0.00056203,             0.00056203
                     45,                0.64017,                0.33074,                 0.8061,                0.82028,                0.75059,                0.77174,                0.56375,                0.81753,                0.42932,                0.84201,             0.00055849,             0.00055849,             0.00055849
                     46,                0.64695,                0.32772,                0.80853,                0.82639,                0.80701,                0.78078,                0.56806,                0.82924,                0.42844,                0.84551,             0.00055496,             0.00055496,             0.00055496
                     47,                0.64303,                0.32756,                0.80407,                0.91153,                0.79028,                0.81657,                0.58807,                  0.808,                0.42143,                0.83937,             0.00055142,             0.00055142,             0.00055142
                     48,                0.63217,                 0.3259,                0.80835,                0.87322,                0.79757,                0.81782,                0.59432,                 0.8438,                0.42491,                0.84522,             0.00054789,             0.00054789,             0.00054789
                     49,                0.61803,                0.31843,                0.81176,                0.90905,                0.79334,                0.82114,                0.60498,                0.81846,                0.42084,                0.84195,             0.00054435,             0.00054435,             0.00054435
                     50,                0.62932,                0.31954,                0.81171,                0.84736,                0.80584,                0.82449,                0.59916,                0.80138,                0.41234,                0.83977,             0.00054082,             0.00054082,             0.00054082
                     51,                0.60101,                0.31558,                0.80727,                0.89463,                 0.7365,                0.78156,                0.58056,                0.82187,                 0.4218,                 0.8426,             0.00053728,             0.00053728,             0.00053728
                     52,                 0.6244,                0.32613,                0.80197,                0.92432,                0.72774,                0.79488,                0.59017,                 0.8159,                0.41742,                0.83906,             0.00053375,             0.00053375,             0.00053375
                     53,                0.61724,                0.31764,                0.80506,                0.88732,                0.80394,                0.80004,                0.58428,                0.81728,                 0.4185,                 0.8383,             0.00053022,             0.00053022,             0.00053022
                     54,                0.61015,                 0.3259,                0.79941,                0.87864,                0.79023,                0.79246,                0.58415,                0.81163,                0.42283,                0.84022,             0.00052668,             0.00052668,             0.00052668
                     55,                0.62037,                0.33355,                 0.8035,                0.85221,                0.78923,                 0.7716,                0.56775,                0.82347,                0.42686,                0.84199,             0.00052315,             0.00052315,             0.00052315
                     56,                0.60189,                0.31952,                0.80356,                 0.8831,                0.74414,                 0.7889,                0.58419,                0.80668,                0.42112,                0.84046,             0.00051961,             0.00051961,             0.00051961
                     57,                 0.6206,                0.31746,                0.80508,                0.84507,                0.78048,                0.78375,                0.58022,                0.80952,                0.42917,                0.83796,             0.00051608,             0.00051608,             0.00051608
                     58,                0.62665,                0.32545,                0.80401,                0.89519,                0.71617,                0.77866,                0.58353,                0.79863,                0.41842,                0.83663,             0.00051254,             0.00051254,             0.00051254
                     59,                0.61505,                0.31375,                0.81044,                 0.8532,                0.79891,                0.79012,                0.58472,                0.79808,                0.41005,                0.83741,             0.00050901,             0.00050901,             0.00050901
                     60,                0.60799,                  0.317,                0.80676,                0.87995,                0.73815,                0.78291,                0.57838,                0.82275,                0.40843,                0.84118,             0.00050548,             0.00050548,             0.00050548
