                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54083,                0.28346,                0.79363,                0.93472,                0.74377,                0.77901,                 0.5737,                0.79012,                0.38899,                0.84251,              0.0005903,              0.0005903,              0.0005903
                     37,                0.52582,                0.27913,                0.79237,                0.92131,                 0.7437,                0.77854,                 0.5723,                0.80289,                0.40636,                0.84334,             0.00058677,             0.00058677,             0.00058677
                     38,                0.50154,                0.26829,                0.78595,                0.86084,                0.78746,                0.78319,                0.56966,                0.82943,                0.42189,                0.84652,             0.00058323,             0.00058323,             0.00058323
                     39,                 0.5222,                0.27272,                0.79545,                0.87429,                0.79631,                0.78395,                0.57718,                0.79684,                0.40805,                  0.841,              0.0005797,              0.0005797,              0.0005797
                     40,                0.53072,                0.27795,                0.79105,                 0.8717,                0.78714,                0.78122,                0.58052,                0.78792,                0.40874,                0.83687,             0.00057616,             0.00057616,             0.00057616
                     41,                0.51998,                0.28023,                  0.791,                0.79496,                0.80635,                0.79519,                0.58667,                0.80037,                0.40187,                0.84063,             0.00057263,             0.00057263,             0.00057263
                     42,                0.49573,                0.26627,                0.79032,                0.95132,                0.73744,                0.80412,                0.59587,                0.80684,                0.40282,                0.84188,             0.00056909,             0.00056909,             0.00056909
                     43,                0.52221,                0.27598,                0.79297,                0.79178,                0.79275,                 0.7951,                0.59109,                0.80567,                0.40172,                0.84399,             0.00056556,             0.00056556,             0.00056556
                     44,                0.49813,                0.27102,                0.79591,                0.81433,                0.80301,                0.80448,                0.61261,                 0.7864,                0.40086,                0.84116,             0.00056203,             0.00056203,             0.00056203
                     45,                 0.5174,                0.27688,                 0.7877,                0.88679,                0.79845,                0.79802,                0.60027,                0.78735,                0.39204,                0.84119,             0.00055849,             0.00055849,             0.00055849
                     46,                0.51792,                0.27258,                0.79184,                0.96447,                0.71211,                0.78452,                0.58586,                0.78635,                0.40347,                0.83913,             0.00055496,             0.00055496,             0.00055496
                     47,                0.50288,                0.26965,                0.78824,                0.80546,                0.74122,                0.78075,                0.59806,                 0.7927,                0.40469,                 0.8407,             0.00055142,             0.00055142,             0.00055142
                     48,                0.50688,                0.26924,                0.79127,                0.85834,                0.79743,                0.80225,                0.59708,                0.79793,                 0.3958,                0.83911,             0.00054789,             0.00054789,             0.00054789
                     49,                0.50094,                 0.2685,                 0.7999,                 0.7748,                0.79889,                0.79159,                 0.5929,                0.80095,                 0.4077,                0.83761,             0.00054435,             0.00054435,             0.00054435
                     50,                 0.5401,                0.27884,                 0.7981,                0.86482,                0.79805,                0.78774,                0.60447,                0.78463,                0.40457,                0.83507,             0.00054082,             0.00054082,             0.00054082
                     51,                0.48874,                0.26122,                0.78982,                0.88734,                0.79967,                0.79298,                0.60483,                0.79307,                0.40623,                0.84029,             0.00053728,             0.00053728,             0.00053728
                     52,                0.51538,                0.27239,                0.79084,                0.89123,                0.78706,                0.81558,                0.60141,                0.78721,                0.39104,                 0.8397,             0.00053375,             0.00053375,             0.00053375
                     53,                0.49719,                0.26683,                0.79045,                0.92148,                0.78211,                0.79827,                 0.6071,                0.79749,                0.40553,                0.83934,             0.00053022,             0.00053022,             0.00053022
                     54,                0.49548,                0.26829,                  0.785,                0.89064,                0.78504,                0.78534,                0.60569,                0.78799,                0.40116,                0.83865,             0.00052668,             0.00052668,             0.00052668
                     55,                0.51265,                0.26769,                0.79178,                 0.8544,                0.79878,                0.79127,                0.60173,                0.79034,                0.40068,                0.83918,             0.00052315,             0.00052315,             0.00052315
                     56,                0.49116,                0.26584,                0.78953,                0.90635,                0.73834,                 0.7896,                 0.6056,                 0.7803,                 0.4021,                0.83736,             0.00051961,             0.00051961,             0.00051961
                     57,                0.51176,                0.26919,                0.78996,                0.90034,                0.79104,                0.80961,                0.60366,                0.78492,                0.40628,                0.83726,             0.00051608,             0.00051608,             0.00051608
                     58,                0.51248,                0.27061,                0.79121,                0.88894,                0.73243,                0.77929,                0.58906,                0.77685,                 0.4008,                0.83673,             0.00051254,             0.00051254,             0.00051254
                     59,                0.50117,                0.26576,                0.79301,                0.86093,                0.74737,                 0.7848,                 0.5936,                0.78883,                0.40261,                0.84181,             0.00050901,             0.00050901,             0.00050901
                     60,                0.51496,                0.26799,                0.79358,                0.89745,                0.78993,                0.78032,                0.58435,                0.80231,                0.40526,                0.84556,             0.00050548,             0.00050548,             0.00050548
